record_number,pmid,doi,title,authors,journal,year,abstract,reviewer_1_decision,reviewer_1_reasoning,reviewer_2_decision,reviewer_2_reasoning,final_decision,arbiter_needed,arbiter_notes
44,40587145,10.1001/jamaneurol.2025.1687,Ambroxol as a Treatment for Parkinson Disease Dementia: A Randomized Clinical Trial.,Silveira Carolina R A; Coleman Kristy K L; Borron Kathy; Tirona Rommel G; Rupar Charles A; Zou Guangyong; Hegele Robert A; Wellington Cheryl; Stukas Sophie; Finger Elizabeth C; Bartha Robert; Morrow Sarah A; Wells Jennie L; Borrie Michael J; Mahuran Don; MacDonald Penny A; Jenkins Mary E; Jog Mandar S; Dresser George; Fox Susan; Camicioli Richard; Feagan Brian; Mendonça Daniel A; Mayich Michael; Sharma Manas D; Pandey Sachin K; Pasternak Stephen H,JAMA neurology,2025,"IMPORTANCE: Carrying a variation in the gene for β-glucocerebrosidase is a major risk factor for Parkinson disease dementia (PDD), and raising β-glucocerebrosidase levels lowers α-synuclein in cell and animals. Ambroxol is a chaperone for β-glucocerebrosidase, which increases the levels of β-glucocerebrosidase. OBJECTIVE: To examine the safety and tolerability of ambroxol in PDD, test the efficacy of ambroxol in improving or slowing the progression of cognitive deficits, and acquire pharmacologi",MAP,dementia; unanimous; Canadian RCT (London Ontario multi-site) of ambroxol vs placebo for PD dementia; pharmacological; published 2025; meets all inclusion criteria,OUT_OF_SCOPE,no_mh; No diagnosed mental health condition,INCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: RCT ambroxol for PD dementia (DSM-5 neurocognitive disorder); Canadian (London ON); QA confirmed MAP; primary results 2025
45,36327043,10.1007/s10597-022-01041-6,An Examination of the Effectiveness of Smoking Cessation Treatment Interventions for Individuals with Severe Mental Illness: A Pilot Randomized Controlled Trial.,Pettey D.; Rae J.; Aubry T.,Community Mental Health Journal,2023,To evaluate the effectiveness of two different smoking cessation interventions for individuals with severe mental illness. Study participants (N = 61) randomly assigned to the SC-R group (n = 29) were offered 24 weeks of no cost Nicotine Replacement Treatment (NRT); participants assigned to the SC + group (n = 32) were offered 24 weeks of no cost NRT plus two initial individual counselling sessions of motivational interviewing and weekly psychosocial group support for 24 weeks. At 6 months the s,UNCERTAIN,unclear_MH; Pilot RCT of NRT-based smoking cessation for severe mental illness; Canadian; pharma (NRT) but target is smoking not MH treatment directly,UNCERTAIN,potential_map; Pilot RCT of NRT (nicotine replacement therapy) +/- counselling for smoking cessation in severe mental illness; not explicitly Canadian but authors appear Canadian (Aubry - Ottawa); pharmacological (NRT); MH population (severe mental illness); but primary target is smoking cessation not MH treatment,INCLUDE,Resolved,Full-text screening: Pilot RCT of NRT for smoking cessation in severe mental illness; NRT is pharma targeting tobacco use disorder (DSM-5 SUD); Canadian (Ottawa); 2023
46,35112098,10.1002/emp2.12628,An interdisciplinary program for familiar faces with chronic pain visiting the emergency department-randomized controlled trial.,Shergill Y.; Poulin P.; Rice D.; Rash J.A.; Hebert G.; Tennant E.; Khoo E.L.; Romanow H.; Singer L.; Jarvis V.; Nathan H.; Smyth C.,Jacep Open,2022,"Objectives: To evaluate the effect of a collaborative interdisciplinary pain assessment program on pain and health-related quality of life among individuals with chronic pain who frequently visit the emergency department (ED). Methods: Individuals with chronic pain who frequented the ED (ie, ≥8 visits within the previous 12 months) were randomly assigned to a collaborative chronic pain management program or treatment as usual. Primary outcomes were change in physical function and visits to the E",OUT_OF_SCOPE,non-pharma; Interdisciplinary pain program for chronic pain ED visitors; Canadian (Ottawa); RCT but non-pharma intervention; chronic pain not primary MH diagnosis,MAP,include_candidate; Canadian RCT (Poulin - Ottawa); chronic pain ED visitors; interdisciplinary pain program. Not MH pharma for diagnosed MH disorder though,EXCLUDE,Resolved,Full-text screening: Non-pharmacological intervention (interdisciplinary pain program); chronic pain not DSM-5 mental disorder
47,36927273,10.1177/02698811231158903,An α7 nAChR approach for the baseline-dependent modulation of deviance detection in schizophrenia: A pilot study assessing the combined effect of CDP-choline and galantamine.,Choueiry J.; Blais C.M.; Shah D.; Smith D.; Fisher D.; Labelle A.; Knott V.,Journal of Psychopharmacology,2023,"Background: Cognitive operations including pre-attentive sensory processing are markedly impaired in patients with schizophrenia (SCZ) but evidence significant interindividual heterogeneity, which moderates treatment response with nicotinic acetylcholine receptor (nAChR) agonists. Previous studies in healthy volunteers have shown baseline-dependency effects of the α7 nAChR agonist cytidine 5′-diphosphocholine (CDP-choline) administered alone and in combination with a nicotinic allosteric modulat",MAP,psychotic; Canadian RCT (Ottawa); randomized double-blind placebo-controlled crossover pilot of CDP-choline 500mg + galantamine 16mg in 24 patients with stable schizophrenia; pharmacological intervention targeting mental disorder; 2023.,OUT_OF_SCOPE,non_pharma; Non-pharmacological intervention,INCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Pilot RCT CDP-choline+galantamine for schizophrenia; pharmacological; Canadian (Ottawa); QA confirmed MAP
48,40456468,10.1016/j.jad.2025.119563,Analysis of reward behavior in patients with MDD and partial response to SSRI therapy treated with vortioxetine versus desvenlafaxine: Experience with the Effort-Expenditure for Rewards Task (EEfRT) in the VIVRE study.,Gill Hartej; McIntyre Roger S; Christensen Michael Cronquist,Journal of affective disorders,2025,"BACKGROUND: Anhedonia is a hallmark symptom of major depressive disorder (MDD), associated with impairments in various aspects of reward. VIVRE is the first study in patients with MDD receiving antidepressant therapy to include longitudinal assessment of reward behavior using the Effort-Expenditure for Rewards Task (EEfRT), a validated behavioral paradigm for the objective assessment of reward and effort-based decision-making in patients with MDD. METHODS: Randomized, double-blind study of vorti",UNCERTAIN,potential_match; RCT of vortioxetine vs desvenlafaxine in MDD with partial SSRI response (VIVRE study); pharma RCT for diagnosed MDD; need to verify Canadian site involvement,UNCERTAIN,possible_MAP; RCT (VIVRE study); pharma (vortioxetine vs desvenlafaxine) for MDD; Canadian co-author (McIntyre); published 2025; BUT need to verify Canadian site involvement; this appears to be multinational pharma trial,EXCLUDE,Resolved,"Full-text screening: Secondary analysis of VIVRE study (primary = PMID 37227402, Record #20); also no Canadian recruitment sites"
49,40875536,10.4088/jcp.24m15634,Artificial Intelligence in Depression-Medication Enhancement (AID-ME): A Cluster Randomized Trial of a Deep-Learning-Enabled Clinical Decision Support System for Personalized Depression Treatment Selection and Management.,Benrimoh David; Whitmore Kate; Richard Maud; Golden Grace; Perlman Kelly; Jalali Sara; Friesen Timothy; Barkat Youcef; Mehltretter Joseph; Fratila Robert; Armstrong Caitrin; Israel Sonia; Popescu Christina; Karp Jordan F; Parikh Sagar V; Golchi Shirin; Moodie Erica E M; Shen Junwei; Gifuni Anthony J; Ferrari Manuela; Sapra Mamta; Kloiber Stefan; Pinard Georges-F; Dunlop Boadie W; Looper Karl; Ranganathan Mohini; Enault Martin; Beaulieu Serge; Rej Soham; Hersson-Edery Fanny; Steiner Warren; Anacleto Alexandra; Qassim Sabrina; McGuire-Snieckus Rebecca; Margolese Howard C,The Journal of clinical psychiatry,2025,"Background: There has been increasing interest in the use of artificial intelligence (AI)-enabled clinical decision support systems (CDSS) for the personalization of major depressive disorder (MDD) treatment selection and management, but clinical studies are lacking. We tested whether a CDSS that combines an AI which predicts remission probabilities for individual antidepressants and a clinical algorithm based on treatment can improve MDD outcomes. Methods: This was a multicenter, cluster random",MAP,depression; Canadian multicenter cluster RCT of AI-guided antidepressant selection for MDD; pharmacological; published 2025,OUT_OF_SCOPE,not_canadian; No Canadian site/PI,INCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: AID-ME cluster RCT of AI-guided antidepressant prescribing for MDD; patients receive pharmacotherapy; Canadian PI Benrimoh (McGill); Canadian sites; QA confirmed MAP
50,27821210,10.1017/s1092852916000377,"Asenapine for the treatment of adults with an acute exacerbation of schizophrenia: results from a randomized, double-blind, fixed-dose, placebo-controlled trial with olanzapine as an active control.",Landbloom R.; MacKle M.; Wu X.; Kelly L.; Snow-Adami L.; McIntyre R.S.; Mathews M.; Hundt C.,CNS Spectrums,2017,"ObjectiveEvaluate the efficacy and safety of asenapine 2.5 mg twice daily (bid; n=97) or 5 mg bid (n=113) versus placebo (n=101) in adults with acute exacerbation of schizophrenia.MethodsAdults with Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition, Text Revision (DSM-IV-TR) schizophrenia diagnosis were randomized to asenapine 2.5 mg bid, 5 mg bid, placebo, or olanzapine 15 mg once daily. The primary objective was to test superiority of asenapine versus placebo as measured by",UNCERTAIN,schizophrenia; RCT; schizophrenia (DSM-IV-TR); pharma (asenapine); cannot confirm Canadian site,MAP,schizophrenia; RCT of asenapine vs placebo in acute schizophrenia exacerbation; international multicenter (McIntyre Canadian co-author); pharma for MH; results 2017,EXCLUDE,Resolved,Full-text screening: Industry (Merck) multinational trial; McIntyre is co-author not PI; no Canadian sites (NCT01617187: US/Bulgaria/Romania/Russia/Croatia/Ukraine)
51,26496015,10.1016/j.jad.2015.06.059,"Asenapine: Efficacy and safety of 5 and 10mg bid in a 3-week, randomized, double-blind, placebo-controlled trial in adults with a manic or mixed episode associated with bipolar I disorder.",Landbloom R.L.; Mackle M.; Wu X.; Kelly L.; Snow-Adami L.; McIntyre R.S.; Mathews M.; Hundt C.,Journal of Affective Disorders,2016,"Background Asenapine is an atypical antipsychotic for acute treatment of manic or mixed episodes associated with bipolar I disorder in adults. The recommended asenapine starting dose is 10 mg bid with the option to reduce the dose to 5 mg bid if needed due to adverse effects/tolerability. Methods Phase IIIb, international, double-blind, fixed-dose, parallel-group, 3-week placebo-controlled trial of asenapine 5 and 10 mg bid in adults with an acute bipolar I disorder manic or mixed episode. Prima",UNCERTAIN,bipolar_mood; RCT; bipolar I (DSM-5); pharma (asenapine); international but cannot confirm Canadian site,MAP,bipolar_mood; Phase IIIb RCT of asenapine vs placebo for acute bipolar I mania; international multicenter (McIntyre is Canadian co-author); pharma for MH; results 2016,EXCLUDE,Resolved,Full-text screening: Industry (Merck) multinational trial; McIntyre is co-author not PI; same pattern as Record #50; no Canadian sites confirmed
52,38520501,10.1007/s12325-024-02826-9,"Assessing the Effects of Metabolic Disruption, Body Mass Index and Inflammation on Depressive Symptoms in Post-COVID-19 Condition: A Randomized Controlled Trial on Vortioxetine.",Kwan Angela T H; Guo Ziji; Ceban Felicia; Le Gia Han; Wong Sabrina; Teopiz Kayla M; Rhee Taeho Greg; Ho Roger; Di Vincenzo Joshua D; Badulescu Sebastian; Meshkat Shakila; Cao Bing; Rosenblat Joshua D; d'Andrea Giacomo; Dev Donovan A; Phan Lee; Subramaniapillai Mehala; McIntyre Roger S,Advances in therapy,2024,"INTRODUCTION: To date, there are no therapeutics that have gained regulatory approval by the United States Food and Drug Administration (FDA) for the treatment of post-COVID-19 condition (PCC), a debilitating condition characterized by cognitive impairment and mood symptoms. Additionally, persistent inflammation, metabolic dysfunction, and risks associated with an elevated body mass index (BMI) have been observed. Herein, we aimed to assess the efficacy of vortioxetine in improving depressive sy",MAP,depression; unanimous; RCT of vortioxetine (pharmacological) for depressive symptoms; Canadian recruitment (recruited in Canada); post-COVID condition with depressive symptoms,UNCERTAIN,post_covid_depression; Canadian RCT; vortioxetine for depressive symptoms in post-COVID; need to verify if depression is DSM-5 diagnosed,EXCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Secondary analysis; primary vortioxetine post-COVID RCT published separately (PMID 37936330); this paper examines metabolic/BMI/inflammation effects
53,41530008,10.1016/j.inpsyc.2026.100183,Assessment of clinical factors that predict response to nabilone for agitation in Alzheimer's disease: A post hoc analysis of a randomized placebo-controlled trial.,Feldman Oriel J; Herrmann Nathan; Ruthirakuhan Myuri; Gallagher Damien; L G Verhoeff Nicolaas Paul; Kiss Alex; Black Sandra E; Lanctôt Krista L,International psychogeriatrics,2026,"INTRODUCTION: Previously, nabilone showed a medium effect size for treating agitation in moderate-to-severe Alzheimer's disease (AD), but response varied. These post hoc analyses aimed to identify a group of clinical characteristics that predicted treatment response. METHODS: Data from a double-blind, placebo-controlled crossover trial in AD agitation were used. Nineteen clinical characteristics were categorized (presence/absence) and evaluated for relation to agitation response (change on Cohen",MAP,include; Canadian PIs (Herrmann/Black Sunnybrook Toronto); post hoc of RCT nabilone for agitation in AD; pharma (nabilone synthetic cannabinoid); neuropsychiatric symptom in diagnosed AD; Canadian site,OUT_OF_SCOPE,secondary_analysis; Secondary/post-hoc analysis,EXCLUDE,Resolved,Full-text screening: Post hoc analysis (stated in title); secondary analysis of parent nabilone trial (Record #29)
54,29666372,10.1038/s41398-018-0128-4,Brain serotonin synthesis capacity in obsessive-compulsive disorder: effects of cognitive behavioral therapy and sertraline.,Lissemore J.I.; Sookman D.; Gravel P.; Berney A.; Barsoum A.; Diksic M.; Nordahl T.E.; Pinard G.; Sibon I.; Cottraux J.; Leyton M.; Benkelfat C.,Translational Psychiatry,2018,"Cognitive behavioral therapy (CBT) and selective serotonin reuptake inhibitors (SSRIs) are both effective treatments for some patients with obsessive-compulsive disorder (OCD), yet little is known about the neurochemical changes related to these treatment modalities. Here, we used positron emission tomography and the α-[11C]methyl-L-tryptophan tracer to examine the changes in brain regional serotonin synthesis capacity in OCD patients following treatment with CBT or SSRI treatment. Sixteen medic",UNCERTAIN,anxiety_trauma_ocd; RCT of CBT vs sertraline for OCD with PET imaging; small sample (n=16); abstract does not clearly state Canadian recruitment sites; Benkelfat/Leyton at McGill suggests Canada but need verification; also primary intervention may be CBT not pharma,MAP,anxiety_trauma_ocd; RCT of CBT vs sertraline for OCD with PET neuroimaging. Benkelfat C - Montreal. Canadian site. Published 2018. Pharma arm (sertraline). Meets all criteria.,INCLUDE,Resolved,Full-text screening: Primary RCT: 16 OCD patients randomized to CBT vs sertraline (12 weeks); sertraline is pharma arm; Canadian (Benkelfat McGill Montreal); 2018
55,35135986,10.1097/adm.0000000000000959,Cannabidiol Effect on Anxiety Symptoms and Stress Response in Individuals With Cocaine Use Disorder: Exploratory Results From a Randomized Controlled Trial.,Mongeau-Pérusse V.; Rizkallah E.; Morissette F.; Brissette S.; Bruneau J.; Dubreucq S.; Gazil G.; Trépanier A.; Jutras-Aswad D.,Journal of Addiction Medicine,2022,"Objectives: Individuals with a cocaine use disorder (CUD) are more likely to present anxiety, which in turn negatively impacts substance use outcomes. Some evidence suggests that cannabidiol (CBD) presents anxiolytic properties and could be a treatment for substance use disorders. This study explores CBD’s effect on stress biomarker (cortisol) and anxiety symptoms in people with CUD. Methods: Exploratory analyses were conducted using data from a randomized, double-blind, placebo-controlled trial",UNCERTAIN,uncertain; unanimous,UNCERTAIN,pharma_rct_mh_canadian; CBD for anxiety/stress in cocaine use disorder RCT double-blind; Montreal (Jutras-Aswad); CUD primary target; anxiety is exploratory outcome,EXCLUDE,Resolved,Full-text screening: Secondary analysis; primary CBD for CUD results published as PMID 33464660 (Addiction 2021); this paper reports exploratory anxiety/stress outcomes
56,37920963,10.1177/07067437231209650,Cannabidiol as an Adjunctive Treatment for Acute Bipolar Depression: A Pilot Study: Le cannabidiol comme traitement d'appoint de la dépression bipolaire aiguë : une étude pilote.,Jairo Vinícius Pinto; José Alexandre S. Crippa; Keila Maria Mendes Ceresér; Miréia Vianna-Sulzbach; Érico de Moura Silveira Júnior; Gabriel Santana da Rosa; Manoella Guatimuzim Testa da Silva; Gabriel Henrique Hizo; Leonardo Simão Medeiros; Carlos Eduardo Santana de Oliveira; Giovana Bristot; Alline C. Campos; Francisco Silveira Guimarães; Jaime E. C. Hallak; Antônio Waldo Zuardi; Lakshmi N. Yatham; Flávio Kapczinski; Márcia Kauer-Sant’Anna,Canadian journal of psychiatry. Revue canadienne de psychiatrie,2024,"OBJECTIVE: The treatment of bipolar depression remains challenging due to the limited effective and safe therapeutic options available; thus, developing newer treatments that are effective and well tolerable is an urgent unmet need. The objective of the present trial was to test 150 to 300 mg/day of cannabidiol as an adjunctive treatment for bipolar depression. METHOD: A randomized, double-blind, placebo-controlled pilot study to assess the efficacy of adjunctive cannabidiol in bipolar depressio",UNCERTAIN,UNCERTAIN; unanimous,UNCERTAIN,possible_canadian_pi; CBD adjunctive for bipolar depression pilot RCT; Can J Psychiatry; likely Brazilian authors; needs author affiliation verification,EXCLUDE,Resolved,"Full-text screening: Brazilian trial (single site HCPA Porto Alegre); Canadian co-authors only (Yatham UBC, Kapczinski McMaster), not PI"
57,28199710,10.1093/sleep/zsx019,Cognitive Behavioral Insomnia Therapy for Those With Insomnia and Depression: A Randomized Controlled Clinical Trial.,Carney C.; Edinger J.; Kuchibhatla M.; Lachowski A.; Bogouslavsky O.; Krystal A.; Shapiro C.,Sleep,2017,"Study Objective: To compare cognitive behavioral therapy for insomnia (CBT-I) + antidepressant medication (AD) against treatments that target solely depression or solely insomnia. Design: A blinded, randomized split-plot experimental study. Setting: Two urban academic clinical centers. Participants: 107 participants (68% female, mean age 42 ± 11) with major depressive disorder and insomnia. Interventions: Randomization was to one of three groups: antidepressant (AD; escitalopram) + CBT-I (4 sess",UNCERTAIN,depression; 2 UNCERTAIN + 1 OUT_OF_SCOPE -> UNCERTAIN (conservative),UNCERTAIN,"pharma_comparator; RCT; MDD + insomnia (DSM-5); escitalopram (AD) used as comparator to CBT-I; Canadian PIs (Carney, Shapiro, Toronto); primary Q is about CBT-I efficacy",INCLUDE,Resolved,Full-text screening: Three-arm RCT with pharmacological arm (escitalopram) for insomnia+depression; Canadian PI (Shapiro Toronto); primary results 2017
58,39614597,10.1177/29767342241298044,Comparative Effectiveness of Buprenorphine/Naloxone and Methadone on Methamphetamine/Amphetamine Use Among People with Opioid Use Disorder in Canada.,Langlois Jenna; Fairbairn Nadia; Jutras-Aswad Didier; Le Foll Bernard; Ahamad Keith; Lim Ron; Socías M Eugenia,Substance use & addiction journal,2025,"BACKGROUND: It has been suggested that opioid agonist therapy (OAT) may have a secondary benefit of reducing methamphetamine/amphetamine use. However, current evidence is limited and conflicting, and little is known on the impacts of different OATs on methamphetamine/amphetamine use. The aim of this study was to examine the comparative effectiveness of buprenorphine/naloxone and methadone on methamphetamine/amphetamine use among individuals with opioid use disorder (OUD) initiating OAT in Canada",UNCERTAIN,possible-MAP; Secondary analysis of Canadian pragmatic RCT comparing buprenorphine/naloxone vs methadone OAT models; OUD is DSM-5 diagnosis; pharma intervention; Canadian; 2025; but primary outcome is stimulant use not OUD treatment per se; secondary analysis not original RCT,UNCERTAIN,secondary_analysis; Canadian; secondary analysis from pan-Canadian OAT pragmatic trial; OUD pharma (methadone vs buprenorphine/naloxone); unclear if primary RCT or secondary analysis,EXCLUDE,Resolved,Full-text screening: Secondary analysis of OPTIMA trial
59,38454079,10.1038/s41380-024-02468-x,Comparative effectiveness research trial for antidepressant incomplete and non-responders with treatment resistant depression (ASCERTAIN-TRD) a randomized clinical trial.,Papakostas George I; Trivedi Madhukar H; Shelton Richard C; Iosifescu Dan V; Thase Michael E; Jha Manish K; Mathew Sanjay J; DeBattista Charles; Dokucu Mehmet E; Brawman-Mintzer Olga; Currier Glenn W; McCall William Vaughn; Modirrousta Mandana; Macaluso Matthew; Bystritsky Alexander; Rodriguez Fidel Vila; Nelson Erik B; Yeung Albert S; Feeney Anna; MacGregor Leslie C; Carmody Thomas; Fava Maurizio,Molecular psychiatry,2024,"Further research is needed to help improve both the standard of care and the outcome for patients with treatment-resistant depression. A particularly critical evidence gap exists with respect to whether pharmacological or non-pharmacological augmentation is superior to antidepressant switch, or vice-versa. The objective of this study was to compare the effectiveness of augmentation with aripiprazole or repetitive transcranial magnetic stimulation versus switching to the antidepressant venlafaxin",MAP,"depression; RCT; MDD/TRD (DSM-5); pharma arms (aripiprazole augmentation, venlafaxine switch); likely Canadian sites; main results 2024",OUT_OF_SCOPE,depression; Multi-site US trial; no Canadian site or PI identified from author list; aripiprazole augmentation vs rTMS vs venlafaxine switch - includes non-pharma arm; no clear Canadian involvement,INCLUDE,Resolved,"Full-text screening: ASCERTAIN-TRD RCT with pharma arms (aripiprazole, venlafaxine) for TRD; Canadian site confirmed (U Manitoba); primary results 2024"
60,,,Comparing the impact of atropine drops and amitriptyline tablets in treatment of clozapine-induced sialorrhea: A randomized double-blind placebo controlled clinical trial,Sheikhmoonesi F.; Zarghami M.; Hendoi N.; Azari P.; Cherati J.Y.; Rezapour M.,Acta Medica Iranica,2018,"Clozapine is an atypical antipsychotic employed to treat patients with psychotic disorders. It is associated with sialorrhea as a problematic adverse effect in 30-80% of cases. Various medications such as atropine and amitriptyline have been suggested for its treatment. We aimed to compare the effects of atropine drops and amitriptyline tablets in the treatment of clozapine-induced sialorrhea. The present double-blind, randomized clinical trial aimed to evaluate the effect of atropine drops and ",UNCERTAIN,"needs_full_text; Double-blind RCT comparing atropine drops vs amitriptyline for clozapine-induced sialorrhea in psychotic disorder patients. Pharmacological RCT in patients with psychotic disorders. However, intervention targets side effect (sialorrhea) not mental disorder itself. Location unclear (possibly Iran). Need full text to confirm site.",UNCERTAIN,uncertain_canada; Double-blind RCT of atropine vs amitriptyline for clozapine-induced sialorrhea in psychotic disorders; pharmacological in patients with psychotic disorders; Iran-based - no Canadian site,EXCLUDE,Resolved,single reviewer only; Full-text screening: Iranian trial; Iranian journal; no Canadian involvement
61,41405885,10.1001/jamanetworkopen.2025.48043,Comparison of Extended-Release Buprenorphine Doses for Treating High-Risk Opioid Use: A Randomized Clinical Trial.,Shiwach Rajinder; Le Foll Bernard; Alho Hannu; Dunn Kelly E; Strafford Stephanie; Zhao Yue; Dobbins Robert L,JAMA network open,2025,"IMPORTANCE: Patients with high-risk opioid use may require higher buprenorphine doses to maximize abstinence and retention in treatment. OBJECTIVE: To compare the efficacy and safety of 100-mg vs 300-mg once-monthly maintenance doses of extended-release buprenorphine among individuals with high-risk opioid use, including fentanyl. DESIGN, SETTING, AND PARTICIPANTS: This multicenter, randomized, double-blind clinical trial was conducted from October 26, 2021, to June 26, 2024, at 28 outpatient tr",UNCERTAIN,"UNCERTAIN; RCT of extended-release buprenorphine for OUD, multicenter US+Canada. Canadian PI (Le Foll, Toronto). Pharma for DSM-5 disorder (OUD). Uncertain if substance use disorder counts as MH for this review.",MAP,MH pharma RCT with Canadian site; Extended-release buprenorphine 100mg vs 300mg for opioid use disorder; multicenter RCT US+Canada; diagnosed OUD (DSM-5); pharma; 2025; Le Foll (Canadian PI),INCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: RCT extended-release buprenorphine for OUD; Canadian PI Le Foll (CAMH); QA confirmed MAP; primary results 2025
62,32280089,10.3233/jad-191173,Concentration-Dependent Activity of Hydromethylthionine on Clinical Decline and Brain Atrophy in a Randomized Controlled Trial in Behavioral Variant Frontotemporal Dementia.,Shiells H.; Schelter B.O.; Bentham P.; Baddeley T.C.; Rubino C.M.; Ganesan H.; Hammel J.; Vuksanovic V.; Staff R.T.; Murray A.D.; Bracoud L.; Wischik D.J.; Riedel G.; Gauthier S.; Jia J.; Moebius H.J.; Hardlund J.; Kipps C.M.; Kook K.; Storey J.M.D.; Harrington C.R.; Wischik C.M.,Journal of Alzheimer S Disease,2020,Background: Hydromethylthionine is a potent inhibitor of pathological aggregation of tau and TDP-43 proteins. Objective: To compare hydromethylthionine treatment effects at two doses and to determine how drug exposure is related to treatment response in bvFTD. Methods: We undertook a 52-week Phase III study in 220 bvFTD patients randomized to compare hydromethylthionine at 200mg/day and 8mg/day (intended as a control). The principal outcomes were change on the Addenbrookes Cognitive Examination-,UNCERTAIN,dementia; RCT; bvFTD (DSM-5 neurocognitive disorder); pharma; cannot confirm Canadian site from abstract,MAP,dementia; Phase III RCT of hydromethylthionine in bvFTD; N=220; multicenter including Canadian site (Gauthier); pharma for MH; results 2020,EXCLUDE,Resolved,Full-text screening: Post-hoc exposure-response reanalysis; prespecified primary comparison failed; authors state analysis is hypothesis-generating
63,29182037,10.1080/15622975.2017.1410221,DRD4 exon 3 genotype and ADHD: Randomised pharmacodynamic investigation of treatment response to methylphenidate.,Naumova D.; Grizenko N.; Sengupta S.M.; Joober R.,World Journal of Biological Psychiatry,2019,"Objectives: Dopamine plays an important role in modulating attention and motor behaviours, dimensions altered in attention deficit/hyperactivity disorder (ADHD). Numerous association studies have linked dopamine receptor 4 (DRD4) to increased risk of ADHD. This study investigated the effect of DRD4 exon 3 polymorphism on child behaviours in response to treatment with methylphenidate. Methods: A total of 374 children diagnosed with ADHD (ages 6-12 years) were evaluated under three experimental co",MAP,"adhd; Canadian crossover RCT of methylphenidate in 374 ADHD children examining DRD4 pharmacogenetics; Joober/Grizenko, Montreal",OUT_OF_SCOPE,non_canadian; No Canadian site/PI identified,EXCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Pharmacogenomic secondary analysis examining DRD4 genotype as moderator of methylphenidate response from parent RCT
64,6697,,Diazepam modulates hippocampal CA1 connectivity in clinical high-risk for psychosis,,,,,UNCERTAIN,potential_match; RCT; diazepam (pharmacological); CHR-P (clinical high-risk for psychosis); UK-based study; no Canadian site evident from author affiliations; CHR-P may not be formal DSM diagnosis,UNCERTAIN,potential_match; RCT; diazepam (pharmacological); CHR-P (clinical high-risk for psychosis); UK-based study; no Canadian site evident from author affiliations; CHR-P may not be formal DSM diagnosis,EXCLUDE,Resolved,single reviewer only; Full-text screening: UK-based study; no Canadian site or PI
65,30565793,10.1111/ene.13872,Donepezil for gait and falls in mild cognitive impairment: a randomized controlled trial.,Montero-Odasso M.; Speechley M.; Chertkow H.; Sarquis-Adamson Y.; Wells J.; Borrie M.; Vanderhaeghe L.; Zou G.Y.; Fraser S.; Bherer L.; Muir-Hunter S.W.,European Journal of Neurology,2019,"Background and purpose: Cognitive enhancers are commonly prescribed to people with Alzheimer's disease and related dementias to improve cognition and function. However, their effectiveness for individuals in the pre-stages of dementia, particularly in functional motor outcomes, remains unknown. We aimed to determine the efficacy of donepezil, a cognitive enhancer that improves cholinergic neurotransmission, on gait performance in mild cognitive impairment (MCI). Methods: This was a double-blind,",UNCERTAIN,dementia; RCT of donepezil for gait/falls in MCI; Canadian PIs (Montero-Odasso/Chertkow/Borrie); pharmacological intervention but targeting gait/falls NOT a mental disorder; MCI is not a diagnosed mental disorder per DSM-5/ICD criteria; may exclude per criteria 2 and 3,MAP,"dementia; RCT of donepezil for gait/falls in MCI. Montero-Odasso M - Western University London ON, Chertkow H, Borrie M. Canadian sites. Published 2019. Meets all criteria.",INCLUDE,Resolved,Full-text screening: Confirmed: RCT donepezil for MCI (DSM-5 mild neurocognitive disorder); fully Canadian (Montero-Odasso/Chertkow/Borrie); primary results 2019
